name;planet_status;mass;radius;type;orbital_period;semi_major_axis;star_name;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;alternate_names;updated;observation_type;reference;molecules;albedo;phase_curve;comments
"HAT-P-26 b";"Confirmed";0.0585;0.5647;"Hot";4.234516;0.0479;"HAT-P-26";134.0;5079.0;0.788;993.3608046242;11.74;10.0800000;9.5810000;1.15;241.296;26.9866;;"3/25/19";"HST WFC3";"2018AJ....155..156T";"{"H2O":"Detection"}";0;"No";
"HAT-P-3 b";"Confirmed";0.591;0.827;"Hot Jupiter";2.899703;0.03866;"HAT-P-3";130.0;5224.0;0.799;1145.1940636587;11.86;9.936;9.448;1.15;89.8903;77.2648;;"5/7/13";"G-B: High resolution IR";2307.00967;"{"He":"Upper limit"}";;"No";"Upper-limit with GIANO-B of 1.9%"
"HAT-P-30 b";"Confirmed";0.711;1.34;"Hot Jupiter";2.810595;0.0419;"HAT-P-30";193.0;6250.0;1.33;1697.9788695269;10.42;9.4420000;9.1510000;1.15;213.5363;135.9056;"WASP-51 b";"7/24/18";"TESS";2204.03327;"[]";0.197;"No";"3σ upper limit geometric albedo of 0.368"
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"G-B: High resolution IR";2110.13582;"{"H":"Detection","He":"Detection"}";;"No";"CARMENES observations. Hα max. depth 3.3%. He max. depth 5.3%."
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"G-B: Low resolution visible";2301.04812;"{"CO2":"Detection","H2O":"Detection","Rayleigh":"Detection"}";;"No";
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"HST WFC3";"2017AJ....154...39D";"{"H2O":"Detection"}";0;"No";
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"HST WFC3";"2018AJ....155..156T";"{"H2O":"Detection"}";0;"No";
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"G-B: High resolution IR";2306.03913;"{"He":"Detection"}";;"No";
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"HST STIS";"2020AJ....160...51A";"[]";0;"No";
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"HST WFC3";2204.11729;"{"H2O":"Detection"}";;"No";
"HAT-P-32 b";"Confirmed";0.75;1.789;"Hot Jupiter";2.15000825;0.03427;"HAT-P-32";320.0;6001.0;1.387;1.83570000000e+03;11.29;10.2510000;9.9900000;1.15;329.926;179.4236;;"7/11/22";"G-B: High resolution IR";"2020AJ....160..228K";"{"FeH":"Upper limit"}";0;"No";
"HAT-P-33 b";"Confirmed";0.763;1.827;"Hot Jupiter";3.474474;0.0503;"HAT-P-33";419.0;6401.0;1.777;1834.5983712062;11.89;10.2630000;10.0040000;1.15;209.1487;104.9844;;"5/31/13";"G-B: High resolution IR";2307.00967;"{"He":"Upper limit"}";;"No";"Upper-limit with GIANO-B of 1.4%"
